Latitude,Longitude,Country,City,AvgDropsPerMonth,PercentAffected
50.083,-92.249,Canada,Sioux Lookout,0.006,0.007
44.289,-80.183,Canada,Clearview,0.006,0.006
49.217,-84.693,Canada,Hornepayne,0.006,0.005
44.153,-80.05,Canada,Mulmur,0.006,0.008
48.341,-84.656,Canada,Dubreuilville,0.006,0.008
45.642,-79.283,Canada,Armour,0.006,0.008
45.497,-76.458,Canada,McNab/Braeside,0.006,0.005
45.592,-78.305,Canada,"Nipissing, Unorganized, South Part",0.006,0.007
45.394,-77.512,Canada,Madawaska Valley,0.006,0.008
49.98,-92.12,Canada,Sioux Lookout,0.006,0.006
44.796,-80.111,Canada,Tiny,0.006,0.009
45.004,-76.371,Canada,Drummond/North Elmsley,0.006,0.006
45.649,-79.194,Canada,Kearney,0.006,0.009
45.726,-77.398,Canada,Laurentian Valley,0.006,0.008
48.345,-84.638,Canada,Dubreuilville,0.006,0.007
50.088,-92.249,Canada,Sioux Lookout,0.006,0.008
45.404,-75.103,Canada,Clarence-Rockland,0.006,0.006
46.37,-79.304,Canada,North Bay,0.006,0.007
45.359,-79.437,Canada,Huntsville,0.006,0.007
44.453,-80.344,Canada,The Blue Mountains,0.006,0.006
44.887,-81.354,Canada,Northern Bruce Peninsula,0.006,0.008
44.75,-78.341,Canada,Trent Lakes,0.006,0.006
44.551,-77.951,Canada,Havelock-Belmont-Methuen,0.006,0.006
51.181,-93.652,Canada,Red Lake,0.006,0.01
48.341,-84.654,Canada,Dubreuilville,0.006,0.009
44.562,-76.437,Canada,South Frontenac,0.006,0.007
44.752,-78.342,Canada,Trent Lakes,0.006,0.006
45.024,-78.236,Canada,Highlands East,0.006,0.007
45.396,-76.825,Canada,Admaston/Bromley,0.006,0.007
45.402,-75.113,Canada,Clarence-Rockland,0.006,0.007
45.64,-79.29,Canada,Armour,0.006,0.008
45.955,-79.495,Canada,Nipissing,0.006,0.007
44.041,-80.06,Canada,Mono,0.006,0.008
45.404,-75.106,Canada,The Nation / La Nation,0.006,0.007
44.582,-76.903,Canada,Stone Mills,0.006,0.009
48.344,-84.66,Canada,Dubreuilville,0.006,0.009
48.335,-84.548,Canada,Dubreuilville,0.006,0.007
44.156,-80.194,Canada,Melancthon,0.006,0.008
46.377,-79.29,Canada,North Bay,0.006,0.008
44.446,-76.195,Canada,Leeds and the Thousand Islands,0.006,0.006
44.755,-76.531,Canada,Tay Valley,0.006,0.008
44.884,-81.327,Canada,Northern Bruce Peninsula,0.006,0.006
44.193,-80.146,Canada,Mulmur,0.006,0.008
44.437,-77.118,Canada,Tweed,0.006,0.005
45.733,-77.351,Canada,Laurentian Valley,0.006,0.007
45.724,-77.408,Canada,Laurentian Valley,0.006,0.007
44.414,-80.3,Canada,The Blue Mountains,0.006,0.006
50.933,-93.768,Canada,Red Lake,0.006,0.006
44.72,-76.447,Canada,Rideau Lakes,0.006,0.006
45.405,-79.388,Canada,Huntsville,0.006,0.005
45.097,-77.652,Canada,Carlow/Mayo,0.006,0.007
45.411,-79.373,Canada,Huntsville,0.006,0.008
44.988,-79.064,Canada,Bracebridge,0.006,0.007
44.645,-79.671,Canada,Oro-Medonte,0.006,0.006
48.344,-84.647,Canada,Dubreuilville,0.006,0.008
44.197,-80.133,Canada,Mulmur,0.006,0.008
43.588,-80.1,Canada,Milton,0.006,0.002
47.995,-79.753,Canada,Larder Lake,0.006,0.008
44.722,-76.4,Canada,Rideau Lakes,0.006,0.008
45.187,-76.338,Canada,Mississippi Mills,0.006,0.008
44.822,-79.598,Canada,Severn,0.006,0.006
48.574,-89.128,Canada,Shuniah,0.006,0.009
45.394,-76.838,Canada,Admaston/Bromley,0.006,0.006
45.181,-79.87,Canada,The Archipelago,0.006,0.008
45.653,-79.212,Canada,Kearney,0.006,0.01
44.731,-79.023,Canada,Kawartha Lakes,0.006,0.007
44.545,-76.44,Canada,South Frontenac,0.008,0.009
46.096,-81.129,Canada,Killarney,0.008,0.01
44.642,-77.882,Canada,Havelock-Belmont-Methuen,0.008,0.009
47.853,-80.512,Canada,Matachewan,0.008,0.009
45.405,-79.396,Canada,Huntsville,0.008,0.007
50.789,-93.424,Canada,Ear Falls,0.008,0.008
44.874,-76.699,Canada,Central Frontenac,0.008,0.009
45.269,-77.097,Canada,Greater Madawaska,0.008,0.008
45.388,-79.339,Canada,Huntsville,0.008,0.009
46.153,-80.962,Canada,Killarney,0.008,0.008
45.715,-77.426,Canada,Laurentian Valley,0.008,0.009
44.873,-76.703,Canada,Central Frontenac,0.008,0.01
45.696,-77.481,Canada,"Killaloe, Hagarty and Richards",0.008,0.01
44.863,-76.765,Canada,Central Frontenac,0.008,0.01
45.713,-77.439,Canada,Laurentian Valley,0.008,0.009
46.072,-81.181,Canada,Killarney,0.008,0.009
45.169,-79.034,Canada,Lake of Bays,0.008,0.009
45.384,-76.864,Canada,Admaston/Bromley,0.008,0.009
46.055,-81.234,Canada,Killarney,0.008,0.008
51.059,-90.302,Canada,Osnaburgh 63A,0.008,0.009
44.674,-77.913,Canada,Havelock-Belmont-Methuen,0.008,0.009
44.643,-76.514,Canada,South Frontenac,0.008,0.01
50.746,-93.399,Canada,Ear Falls,0.008,0.008
44.638,-77.876,Canada,Havelock-Belmont-Methuen,0.008,0.008
45.972,-79.594,Canada,Nipissing,0.008,0.009
48.234,-89.559,Canada,Neebing,0.008,0.008
45.708,-77.45,Canada,Laurentian Valley,0.008,0.009
45.41,-77.147,Canada,Bonnechere Valley,0.008,0.01
44.543,-76.441,Canada,South Frontenac,0.008,0.009
44.806,-80.115,Canada,Tiny,0.008,0.009
46.062,-81.203,Canada,Killarney,0.008,0.009
